City_ID,City,Description,Max Temp,Lat,Lng,Hotel Name
534,Marsh Harbour,broken clouds,75.33,26.5412,-77.0636,Abaco Beach Resort
536,Muli,clear sky,82.15,2.9167,73.5667,Medhufushi Island Resort
539,Kismayo,overcast clouds,78.1,-0.3582,42.5454,Agan-Hotel
543,Latung,overcast clouds,82.8,5.5,120.8833,
544,Yanam,haze,78.8,16.7333,82.2167,The Regency Hotel
547,Kalmunai,overcast clouds,80.13,7.4167,81.8167,VS Villa
551,Kimbe,light rain,86.43,-5.5502,150.1429,Kimbe Bay Hotel
552,Dhidhdhoo,scattered clouds,80.91,6.8833,73.1,Dhidhoo beach
555,Chokwe,overcast clouds,72.99,-24.5333,32.9833,Complexo Sonho Real
558,Meulaboh,scattered clouds,86.16,4.1363,96.1285,Kost Pria
560,Innisfail,light rain,75.72,-17.5333,146.0333,Moondarra Motel
564,Tagusao,overcast clouds,82.67,9.1924,117.8141,Toledo
568,Clarence Town,scattered clouds,80.01,-32.5833,151.7833,River Downs Cottage
572,Luganville,moderate rain,85.06,-15.5333,167.1667,The Espiritu Hotel
574,Kloulklubed,broken clouds,86.0,7.0419,134.2556,Storyboard Beach Resort
576,Port-Gentil,overcast clouds,80.47,-0.7193,8.7815,Fengshui Residence
577,Ilhabela,broken clouds,75.49,-23.7781,-45.3581,Ilha Flat Hotel
580,Moyo,overcast clouds,70.34,3.6609,31.7247,Amelia Guest House
581,Vao,few clouds,80.51,-22.6667,167.4833,Hotel Kou-Bugny
582,Hualmay,clear sky,72.09,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
584,Zhuhai,clear sky,75.99,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
587,Pirapora,very heavy rain,71.89,-17.345,-44.9419,Santos Palace Hotel
588,Mahibadhoo,clear sky,81.66,3.7833,72.9667,Omadhoo Inn
