City_ID,City,Description,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
120,Constitucion,clear sky,2021-02-18 03:59:25,-35.3333,-72.4167,52.65,83,0,5.3
121,Namatanai,light rain,2021-02-18 03:59:09,-3.6667,152.4333,85.14,70,100,4.92
122,Puerto Ayora,broken clouds,2021-02-18 03:59:04,-0.7393,-90.3518,75.99,94,82,1.99
123,Son La,overcast clouds,2021-02-18 04:04:33,21.3167,103.9,63.41,71,100,4.52
124,Provideniya,clear sky,2021-02-18 03:59:13,64.3833,-173.3,1.4,60,0,6.71
125,Morondava,few clouds,2021-02-18 04:08:26,-20.2833,44.2833,80.58,84,20,10.13
126,Faanui,light rain,2021-02-18 03:59:24,-16.4833,-151.75,81.28,73,17,12.48
127,Hermanus,few clouds,2021-02-18 03:59:07,-34.4187,19.2345,55.99,90,18,8.75
128,Shimoda,few clouds,2021-02-18 03:59:33,34.6667,138.95,44.6,42,20,10.36
129,Vila Velha,moderate rain,2021-02-18 03:59:37,-20.3297,-40.2925,84.0,69,0,10.36
130,Saskylakh,clear sky,2021-02-18 03:59:09,71.9167,114.0833,-32.69,80,2,5.7
131,Codrington,clear sky,2021-02-18 03:59:07,-38.2667,141.9667,92.75,25,0,7.87
132,Enumclaw,overcast clouds,2021-02-18 04:08:27,47.2043,-121.9915,39.0,88,100,3.96
133,Maloy,overcast clouds,2021-02-18 04:08:27,61.9353,5.1136,41.0,56,90,20.71
134,Manaus,scattered clouds,2021-02-18 04:03:52,-3.1019,-60.025,77.0,94,40,2.3
135,Bowen,light rain,2021-02-18 03:59:33,-20.0167,148.2333,82.4,69,40,16.11
136,Upernavik,scattered clouds,2021-02-18 03:59:20,72.7868,-56.1549,-12.06,88,29,1.3
137,Chegem,broken clouds,2021-02-18 04:08:27,43.2833,43.1333,1.4,85,75,2.24
138,Ponta Do Sol,scattered clouds,2021-02-18 03:59:26,32.6667,-17.1,57.99,64,41,1.01
139,Hasaki,few clouds,2021-02-18 03:59:08,35.7333,140.8333,48.0,18,20,11.5
140,Lorengau,overcast clouds,2021-02-18 03:59:30,-2.0226,147.2712,84.69,76,100,11.18
141,Khatanga,overcast clouds,2021-02-18 03:59:11,71.9667,102.5,-20.58,88,100,8.81
142,Husavik,few clouds,2021-02-18 03:59:35,66.0449,-17.3389,30.2,93,20,8.03
143,Buy,scattered clouds,2021-02-18 04:08:28,58.4786,41.53,-12.03,90,40,4.68
144,Arecibo,scattered clouds,2021-02-18 04:08:28,18.4724,-66.7157,73.0,91,46,3.0
145,Bolobo,overcast clouds,2021-02-18 04:07:07,-2.1667,16.2333,74.17,84,100,6.15
146,Palmer,overcast clouds,2021-02-18 04:08:28,42.1584,-72.3287,21.0,67,90,4.61
147,La Ronge,scattered clouds,2021-02-18 03:59:57,55.1001,-105.2842,-4.0,77,45,4.61
148,Saint-Philippe,clear sky,2021-02-18 04:01:06,-21.3585,55.7679,84.2,65,0,3.44
149,Thompson,clear sky,2021-02-18 03:59:28,55.7435,-97.8558,-4.0,84,1,4.14
150,Hegang,scattered clouds,2021-02-18 04:08:28,47.4,130.3667,17.65,88,44,5.64
